AÑO,TITULO,FECHA_ELECCIONES,DISTRITO,SECCION,MESA,PARTIDO,NUM_VOTOS,PORCENTAJE
"2023","Elecciones Generales","23/07/23","1","6","A","AEEV","2",",5813953488372093023255813953488372093023"
"2023","Elecciones Generales","23/07/23","1","6","A","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","6","A","SUMAR","45","13,0813953488372093023255813953488372093"
"2023","Elecciones Generales","23/07/23","1","6","B","Electores","445","100"
"2023","Elecciones Generales","23/07/23","1","6","B","Abstenciones","88","19,77528089887640449438202247191011235955"
"2023","Elecciones Generales","23/07/23","1","6","B","Votantes","357","80,22471910112359550561797752808988764045"
"2023","Elecciones Generales","23/07/23","1","6","B","Blancos","3",",8403361344537815126050420168067226890756"
"2023","Elecciones Generales","23/07/23","1","6","B","Validos","355","99,43977591036414565826330532212885154062"
"2023","Elecciones Generales","23/07/23","1","6","B","Nulos","2",",5602240896358543417366946778711484593838"
"2023","Elecciones Generales","23/07/23","1","6","B","PSOE","85","23,80952380952380952380952380952380952381"
"2023","Elecciones Generales","23/07/23","1","6","B","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","6","B","PP","176","49,29971988795518207282913165266106442577"
"2023","Elecciones Generales","23/07/23","1","6","B","PACMA","2",",5602240896358543417366946778711484593838"
"2023","Elecciones Generales","23/07/23","1","6","B","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","6","B","PUM J","1",",2801120448179271708683473389355742296919"
"2023","Elecciones Generales","23/07/23","1","6","B","VOX","36","10,08403361344537815126050420168067226891"
"2023","Elecciones Generales","23/07/23","1","6","B","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","6","B","AEEV","2",",5602240896358543417366946778711484593838"
"2023","Elecciones Generales","23/07/23","1","6","B","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","6","B","SUMAR","50","14,00560224089635854341736694677871148459"
"2023","Elecciones Generales","23/07/23","1","7","A","Electores","640","100"
"2023","Elecciones Generales","23/07/23","1","7","A","Abstenciones","125","19,53125"
"2023","Elecciones Generales","23/07/23","1","7","A","Votantes","515","80,46875"
"2023","Elecciones Generales","23/07/23","1","7","A","Blancos","1",",1941747572815533980582524271844660194175"
"2023","Elecciones Generales","23/07/23","1","7","A","Validos","513","99,61165048543689320388349514563106796117"
"2023","Elecciones Generales","23/07/23","1","7","A","Nulos","2",",388349514563106796116504854368932038835"
"2023","Elecciones Generales","23/07/23","1","7","A","PSOE","92","17,86407766990291262135922330097087378641"
"2023","Elecciones Generales","23/07/23","1","7","A","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","7","A","PP","282","54,75728155339805825242718446601941747573"
"2023","Elecciones Generales","23/07/23","1","7","A","PACMA","2",",388349514563106796116504854368932038835"
